date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment_mom,interest rate,previous interest rate,next interest rate,previous change,present change
1982-09-01,97.7,4.940923737916236,0.0,97.2,5.882352941176472,0.1029866117404854,100.0,1.2145748987854257,-0.2991026919242245,10.1,32.89473684210527,3.0612244897959107,89183.0,-2.5077341845491263,-0.201425645960851,47.8139,-6.873394373905651,-0.2592921720047991,97.12507,-1.2862406280436778,0.2302533643543824,5.963302752293553,10.31,10.12,9.71,0.1900000000000012,-0.5999999999999996
1982-10-01,98.1,5.032119914346889,0.4094165813715467,97.5,5.863192182410426,0.3086419753086433,100.2,1.3144590495449917,0.2000000000000001,10.4,31.64556962025316,2.970297029702973,88907.0,-2.706281462026705,-0.3094760212148051,47.3575,-7.044279957523902,-0.954534141745378,97.41024,-0.7056193386364207,0.2936111139997255,5.91630591630592,9.71,10.31,9.2,-0.5999999999999996,-0.5100000000000016
1982-11-01,98.0,4.47761194029852,-0.1019367991844988,97.3,5.189189189189181,-0.2051282051282132,100.3,1.5182186234817818,0.0998003992015883,10.8,30.12048192771084,3.846153846153855,88786.0,-2.615963409417465,-0.1360972701812013,47.2078,-6.2492801054918505,-0.3161062133769765,97.76778,-0.0529035459483351,0.3670456001340305,-1.7711171662125549,9.2,9.71,8.95,-0.5100000000000016,-0.25
1982-12-01,97.7,3.825717321997879,-0.3061224489795844,97.2,4.516129032258065,-0.1027749229188024,100.5,1.72064777327936,0.1994017946161497,10.8,27.05882352941178,0.0,88771.0,-2.336762198140707,-0.0168945554479327,46.8713,-5.897174383540193,-0.7128059346125037,98.2055,0.658032973396816,0.4477139605706393,-0.2773925104022079,8.95,9.2,8.68,-0.25,-0.2699999999999996
1983-01-01,97.9,3.7076271186440746,0.2047082906857733,97.6,4.608788853161849,0.411522633744843,100.2,0.5015045135406293,-0.2985074626865591,10.4,20.93023255813955,-3.703703703703709,88990.0,-1.7390824269861382,0.2467021887778697,47.7398,-2.147877436321033,1.8529462592247412,98.7117,1.427325351698916,0.5154497456863361,-2.0862308762169657,8.68,8.95,8.51,-0.2699999999999996,-0.1699999999999999
1983-02-01,98.0,3.484688489968324,0.1021450459652628,98.0,4.47761194029852,0.4098360655737654,100.5,0.7014028056112176,0.2994011976047872,10.4,16.85393258426966,0.0,88917.0,-1.817519295959724,-0.0820316889538097,47.4484,-4.691275693547514,-0.6103921675415513,99.26214,2.247922483612985,0.5576238682952539,5.965909090909083,8.51,8.68,8.77,-0.1699999999999999,0.2599999999999998
1983-03-01,98.1,3.590285110876445,0.1020408163265207,98.2,4.579339723109688,0.2040816326530636,100.4,0.8032128514056325,-0.0995024875621863,10.3,14.44444444444446,-0.961538461538458,89090.0,-1.486166707211889,0.1945634693028219,47.8426,-3.24605593384526,0.8307972450072088,99.82935,3.0642268893768865,0.571426326291169,8.310991957104562,8.77,8.51,8.8,0.2599999999999998,0.0300000000000011
1983-04-01,98.8,4.000000000000004,0.7135575942915473,98.6,4.118268215417098,0.4073319755600657,100.4,0.8032128514056325,0.0,10.2,9.6774193548387,-0.9708737864077776,89364.0,-0.8718801996672187,0.3075541587159058,48.4483,-1.1083600557650009,1.2660265119370795,100.3834,3.799536154424654,0.55499710255551,10.272277227722771,8.8,8.77,8.63,0.0300000000000011,-0.1699999999999999
1983-05-01,99.2,3.44108446298228,0.4048582995951566,98.9,3.6687631027253698,0.3042596348884485,100.8,1.002004008016022,0.3984063745019917,10.1,7.446808510638281,-0.9803921568627416,89644.0,-0.5138335534420224,0.3133252763976468,48.747,0.1645882519741404,0.6165335006594663,100.8929,4.403099241456565,0.5075540378190135,4.7138047138047146,8.63,8.8,8.98,-0.1699999999999999,0.3499999999999996
1983-06-01,99.4,2.4742268041237248,0.2016129032258007,99.2,3.2258064516129226,0.3033367037411416,101.0,1.0000000000000009,0.1984126984126977,10.1,5.208333333333326,0.0,90021.0,0.1735937239192075,0.42055240729999,49.0434,1.0339606316244865,0.6080374176872461,101.3283,4.836300848088482,0.4315467193429789,-1.1789924973204635,8.98,8.63,9.37,0.3499999999999996,0.3899999999999988
