date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PPI,PPI_yoy,Nonfarm,industrial production,interest rate,previous interest rate,next interest rate,previous change,present change
1987-10-01,115.0,4.355716878402904,0.2615518744550904,119.8,4.17391304347825,0.503355704697972,104.1,4.413239719157458,103138.0,59.7008,7.29,7.22,6.69,0.0700000000000002,-0.5999999999999996
1987-11-01,115.4,4.528985507246386,0.3478260869565375,120.1,4.163052905464015,0.2504173622704497,104.2,4.4088176352705455,103372.0,59.9956,6.69,7.29,6.77,-0.5999999999999996,0.0799999999999991
1987-12-01,115.6,4.332129963898912,0.1733102253032914,120.4,4.152249134948116,0.2497918401332288,104.2,4.513540621865597,103661.0,60.3246,6.77,6.69,6.83,0.0799999999999991,0.0600000000000005
1988-01-01,116.0,4.129263913824044,0.34602076124568,120.9,4.3140638481449445,0.4152823920265724,104.6,4.079601990049753,103753.0,60.309,6.83,6.77,6.58,0.0600000000000005,-0.25
1988-02-01,116.2,3.935599284436497,0.172413793103443,121.2,4.302925989672968,0.2481389578163684,104.8,3.7623762376237657,104214.0,60.6122,6.58,6.83,6.58,-0.25,0.0
1988-03-01,116.5,3.832442067736186,0.2581755593803692,121.7,4.373927958833623,0.4125412541254203,104.9,3.656126482213451,104489.0,60.7452,6.58,6.58,6.87,0.0,0.29
1988-04-01,117.2,3.9929015084294575,0.6008583690987113,122.3,4.262574595055413,0.4930156121610407,105.8,3.827281648675162,104732.0,61.108,6.87,6.58,7.09,0.29,0.2199999999999997
1988-05-01,117.5,3.9823008849557473,0.255972696245732,122.7,4.248088360237889,0.3270645952575757,106.5,3.801169590643272,104962.0,60.9843,7.09,6.87,7.51,0.2199999999999997,0.4199999999999999
1988-06-01,118.0,3.96475770925111,0.4255319148936065,123.2,4.495335029686176,0.4074979625101838,107.2,4.077669902912628,105326.0,61.1615,7.51,7.09,7.75,0.4199999999999999,0.2400000000000002
1988-07-01,118.5,4.130052724077338,0.4237288135593209,123.6,4.480135249366013,0.3246753246753275,107.9,4.251207729468609,105550.0,61.171,7.75,7.51,8.01,0.2400000000000002,0.2599999999999998
1988-08-01,119.0,4.111986001749779,0.421940928270037,124.0,4.465037910699232,0.3236245954692629,108.0,4.046242774566466,105674.0,61.4771,8.01,7.75,8.19,0.2599999999999998,0.1799999999999997
1988-09-01,119.5,4.184829991281602,0.4201680672268892,124.7,4.614093959731536,0.5645161290322553,108.1,4.243008678881388,106013.0,61.2785,8.19,8.01,8.3,0.1799999999999997,0.1100000000000012
1988-10-01,119.9,4.260869565217407,0.3347280334728086,125.2,4.507512520868118,0.400962309542896,108.2,3.938520653218069,106276.0,61.5488,8.3,8.19,8.35,0.1100000000000012,0.0499999999999989
1988-11-01,120.3,4.246100519930662,0.3336113427856446,125.6,4.579517069109085,0.3194888178913668,108.3,3.9347408829174535,106617.0,61.7049,8.35,8.3,8.76,0.0499999999999989,0.4100000000000001
1988-12-01,120.7,4.41176470588236,0.3325020781379972,126.0,4.6511627906976605,0.3184713375796288,109.0,4.606525911708248,106898.0,61.9851,8.76,8.35,9.12,0.4100000000000001,0.3599999999999994
1989-01-01,121.2,4.482758620689653,0.4142502071251108,126.5,4.631927212572373,0.3968253968253954,110.5,5.640535372848965,107161.0,62.1677,9.12,8.76,9.36,0.3599999999999994,0.2400000000000002
1989-02-01,121.6,4.647160068846801,0.3300330033003229,126.9,4.702970297029707,0.3162055335968361,110.8,5.725190839694649,107427.0,61.8916,9.36,9.12,9.85,0.2400000000000002,0.4900000000000002
