date,CPI_yoy,coreCPI_yoy,corePCE_yoy,unemployment,continued claims,interest rate,previous interest rate,next interest rate,previous change,present change
2014-06-01,2.0589816945944195,1.922862652667656,1.6514586142380772,6.1,2588750.0,0.1,0.09,0.09,0.01,-0.01
2014-07-01,1.9742378703305967,1.844963229006336,1.6692416903290486,6.2,2533500.0,0.09,0.1,0.09,-0.01,0.0
2014-08-01,1.7150983482969062,1.73639560289498,1.5062438759980925,6.1,2504800.0,0.09,0.09,0.09,0.0,0.0
2014-09-01,1.6840509711232077,1.7409458883681284,1.497249312328086,5.9,2447750.0,0.09,0.09,0.09,0.0,0.0
2014-10-01,1.6095417021513292,1.817632310436279,1.3329448612426242,5.7,2423250.0,0.09,0.09,0.09,0.0,0.0
2014-11-01,1.231524989320798,1.7415947552462452,1.0857594081832067,5.8,2408800.0,0.09,0.09,0.12,0.0,0.03
2014-12-01,0.6531213919623191,1.6224195046636636,0.7322588005891362,5.6,2380000.0,0.12,0.09,0.11,0.03,-0.0099999999999999
2015-01-01,-0.2299309782054281,1.631625565241701,0.0414018672242111,5.7,2349800.0,0.11,0.12,0.11,-0.0099999999999999,0.0
2015-02-01,-0.0870314629352053,1.6880834938713285,0.1707014276846719,5.5,2340250.0,0.11,0.11,0.11,0.0,0.0
2015-03-01,-0.0220312844238734,1.7453777073428434,0.1993492743892932,5.4,2326500.0,0.11,0.11,0.12,0.0,0.0099999999999999
2015-04-01,-0.1040309893939106,1.802827832894649,0.110324064049827,5.4,2281500.0,0.12,0.11,0.12,0.0099999999999999,0.0
2015-05-01,0.0350332182442958,1.75094409524732,0.1852862157349033,5.6,2260400.0,0.12,0.12,0.13,0.0,0.01
2015-06-01,0.1795718097550525,1.777267624465506,0.2704286757220897,5.3,2273750.0,0.13,0.12,0.13,0.01,0.0
2015-07-01,0.2256861110409458,1.834631289489708,0.2197328295222345,5.2,2244750.0,0.13,0.13,0.14,0.0,0.01
2015-08-01,0.2413037985344868,1.850632327342128,0.2392713007937974,5.1,2254000.0,0.14,0.13,0.14,0.01,0.0
2015-10-01,0.127616560670507,1.9135335359607983,0.0954982337961096,5.0,2207600.0,0.12,0.14,0.12,-0.02,0.0
2015-11-01,0.4363182169185187,1.9974275238246355,0.2538775426298434,5.1,2208500.0,0.12,0.12,0.24,0.0,0.12
2015-12-01,0.6387247515364791,2.0715072792840905,0.3459637561779249,5.0,2203750.0,0.24,0.12,0.34,0.12,0.1
2016-01-01,1.2375025026943876,2.145022538582464,0.8711486332691809,4.8,2207600.0,0.34,0.24,0.38,0.1,0.0399999999999999
2016-02-01,0.8472775790126619,2.222573822094165,0.640330493157748,4.9,2200500.0,0.38,0.34,0.36,0.0399999999999999,-0.02
2016-03-01,0.8916160965521946,2.142426948557663,0.6855104733630268,5.0,2167250.0,0.36,0.38,0.37,-0.02,0.01
2016-04-01,1.1726257503534845,2.156654761214183,0.9259068531526138,5.1,2149000.0,0.37,0.36,0.37,0.01,0.0
2016-05-01,1.0784764621246223,2.254559597497608,0.8486853596638255,4.8,2169750.0,0.37,0.37,0.38,0.0,0.01
2016-06-01,1.0792865347959424,2.2622116465067066,0.8296074490339977,4.9,2156750.0,0.38,0.37,0.39,0.01,0.01
2016-07-01,0.8683633430518256,2.1701399624842965,0.7550842682239489,4.8,2134600.0,0.39,0.38,0.4,0.01,0.01
2016-09-01,1.5486446201652182,2.271120682569183,1.2197749212634612,5.0,2109500.0,0.4,0.4,0.4,0.0,0.0
2016-10-01,1.685924966243646,2.2045551507991146,1.427003293084517,4.9,2072600.0,0.4,0.4,0.41,0.0,0.0099999999999999
2016-11-01,1.6843334719788938,2.1454219398053587,1.3974040886628902,4.7,2044750.0,0.41,0.4,0.54,0.0099999999999999,0.13
2017-01-01,2.510393348257112,2.2502092221020176,2.0052104701731244,4.7,2081000.0,0.65,0.54,0.66,0.1099999999999999,0.01
2017-02-01,2.8103616813294208,2.2353468290497336,2.197136846426196,4.6,2059750.0,0.66,0.65,0.79,0.01,0.13
2017-04-01,2.176223471915395,1.8965650108902388,1.76747318686028,4.4,1955400.0,0.9,0.79,0.91,0.1099999999999999,0.01
2017-05-01,1.856343166761976,1.7370931912259246,1.557772049759043,4.4,1896250.0,0.91,0.9,1.04,0.01,0.13
2017-06-01,1.640565809959127,1.6991193342490218,1.4655479277905004,4.3,1916750.0,1.04,0.91,1.15,0.13,0.1099999999999998
2017-07-01,1.7251073506566073,1.6769627444729984,1.4856317748266346,4.3,1927200.0,1.15,1.04,1.16,0.1099999999999998,0.01
2017-09-01,2.1805652303711787,1.5953898457655935,1.757444307056133,4.3,1892800.0,1.15,1.16,1.15,-0.01,0.0
2017-10-01,2.020757753132485,1.7596390813271243,1.6820407007323013,4.2,1902750.0,1.15,1.15,1.16,0.0,0.01
2017-12-01,2.129930719552253,1.770166453265043,1.7664099484208329,4.1,1971000.0,1.3,1.16,1.41,0.1400000000000001,0.1099999999999998
2018-01-01,2.151318868063945,1.8912671130328464,1.7576494957315614,4.0,1979500.0,1.41,1.3,1.42,0.1099999999999998,0.01
2018-03-01,2.3309497646499366,2.1227843662331214,1.998292058070028,4.0,1945400.0,1.51,1.42,1.69,0.09,0.1799999999999999
2018-04-01,2.4709963021052994,2.150644636125887,2.0466282276259795,4.0,1877500.0,1.69,1.51,1.7,0.1799999999999999,0.01
2018-05-01,2.781921607842497,2.272998448872432,2.2662065367869744,3.8,1755500.0,1.7,1.69,1.82,0.01,0.1200000000000001
2018-06-01,2.8075506935940187,2.245517307127032,2.268307840346395,4.0,1679400.0,1.82,1.7,1.91,0.1200000000000001,0.0899999999999998
2018-08-01,2.642923856874257,2.1208941334864617,2.180411288951989,3.8,1614000.0,1.91,1.91,1.95,0.0,0.04
2018-09-01,2.332055105808828,2.1976804898501623,2.009960159362545,3.7,1551000.0,1.95,1.91,2.19,0.04,0.24
2018-10-01,2.492032470218053,2.126409125691242,2.053098049357893,3.8,1592750.0,2.19,1.95,2.2,0.24,0.0100000000000002
2018-11-01,2.147328577667773,2.215384372931584,1.9418922274646144,3.8,1685000.0,2.2,2.19,2.27,0.0100000000000002,0.0699999999999998
2018-12-01,2.0023809043401064,2.248529550529988,1.8646908878110715,3.9,1749600.0,2.27,2.2,2.4,0.0699999999999998,0.1299999999999999
2019-01-01,1.4875893578291333,2.1794329242488475,1.4318323303589953,4.0,1779500.0,2.4,2.27,2.4,0.1299999999999999,0.0
2019-02-01,1.5188615351321877,2.1410889637129227,1.4001735426362627,3.8,1801500.0,2.4,2.4,2.41,0.0,0.0100000000000002
2019-03-01,1.8831863513063984,2.06656235001228,1.5218076513927814,3.8,1780200.0,2.41,2.4,2.42,0.0100000000000002,0.0099999999999997
2019-04-01,2.000583470209061,2.0913377235709074,1.5663384627478738,3.7,1666500.0,2.42,2.41,2.39,0.0099999999999997,-0.0299999999999998
2019-05-01,1.7959105553606136,1.97242800754438,1.4655536045359518,3.6,1628000.0,2.39,2.42,2.38,-0.0299999999999998,-0.0100000000000002
2019-06-01,1.671194894390049,2.0746001344216447,1.4260651383430245,3.6,1631000.0,2.38,2.39,2.4,-0.0100000000000002,0.02
2019-07-01,1.826331335037068,2.165704950349045,1.4539295260287632,3.7,1631000.0,2.4,2.38,2.13,0.02,-0.27
2019-08-01,1.7376412106666406,2.321135673598529,1.4304164057608038,3.6,1619600.0,2.13,2.4,2.04,-0.27,-0.0899999999999998
2019-09-01,1.6844977040391562,2.3300099083477743,1.2839539924622612,3.5,1581000.0,2.04,2.13,1.83,-0.0899999999999998,-0.2099999999999999
2019-10-01,1.7339736996186297,2.3378148209658223,1.2885618207514993,3.6,1618500.0,1.83,2.04,1.55,-0.2099999999999999,-0.28
2019-11-01,2.092290394862917,2.3546960942649298,1.3582773068303575,3.6,1685200.0,1.55,1.83,1.55,-0.28,0.0
